"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
7,133341,17,83,38.933351,7.618883,46.552234,31.314468,"04","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035409,4,91,29.723686,12.52728,42.250966,17.196406,"04","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,13,97,59.965445,23.796566,83.762011,36.168879,"04","AT_14","Afrotropics","Mangroves"
10,182688,14,94,52.38898,13.673513,66.062493,38.715467,"04","AT_98","Afrotropics","Lake"
11,14394311,0,100,70.384559,20.153236,90.537795,50.231323,"04","AN_11","Antarctic","Tundra"
12,1358169,32,100,79.881666,9.769503,89.651169,70.112163,"04","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,36,100,66.32557,13.196806,79.522376,53.128764,"04","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,25,92,56.283114,11.187951,67.471065,45.095163,"04","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,16,92,40.582103,12.138853,52.720956,28.44325,"04","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,18,84,33.86287,9.048168,42.911038,24.814702,"04","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
